GEO.id2,HD01_VD10,,,,,,,,HD01_VD01
360850247001 ,132,126,92,104,48,0,2,504,1395
360850247002 ,143,123,84,79,22,16,10,477,1229
360850248000 ,0,0,0,0,0,0,0,0,0
360850248001 ,143,167,18,84,56,32,14,514,1461
360850248002 ,85,134,142,126,112,33,0,632,2057
360850248003 ,59,180,92,157,20,24,0,532,1598
360850251001 ,87,258,68,165,137,63,26,804,2756
360850251002 ,167,59,154,120,19,0,0,519,1344
360850251003 ,131,290,111,139,89,0,0,760,2101
360850273011 ,149,90,55,77,36,11,0,418,1046
360850273012 ,339,311,191,143,130,0,9,1123,2892
360850273021 ,134,309,162,67,41,29,0,742,1919
360850273022 ,66,168,92,112,37,10,11,496,1481
360850277021 ,417,369,262,180,38,63,0,1329,3174
360850277022 ,147,186,212,30,59,56,0,690,1859
360850277023 ,413,463,50,20,0,12,0,958,1648
360850277041 ,71,155,259,78,61,12,0,636,1894
360850277042 ,175,193,164,239,68,8,0,847,2393
360850277051 ,179,246,219,185,101,25,0,955,2705
360850277052 ,80,144,88,29,21,6,41,409,1190
360850277053 ,70,62,192,97,96,31,0,548,1859
360850277061 ,120,144,46,107,80,0,41,538,1669
360850277062 ,69,65,63,61,53,5,21,337,1107
360850277063 ,63,87,62,45,11,12,0,280,728
360850279001 ,105,125,28,78,17,9,0,362,882
360850279002 ,78,40,51,65,14,26,4,278,1250
360850291020 ,0,0,0,0,0,0,0,0,0
360850291021 ,63,115,59,28,12,45,0,322,922
360850291022 ,57,130,198,213,17,17,0,632,1982
360850291031 ,84,119,108,91,77,0,0,479,1396
360850291032 ,80,124,60,112,83,0,0,459,1369
360850291033 ,81,177,122,89,30,0,34,533,1582
360850291034 ,68,162,51,70,28,60,46,485,1633
360850291035 ,148,197,115,142,0,0,44,646,1795
360850291041 ,0,192,76,174,86,0,56,584,2129
360850291042 ,51,110,114,105,122,0,0,502,1638
360850291043 ,109,79,156,183,26,8,60,621,2419
360850291044 ,171,218,174,113,0,0,0,676,1621
360850303011 ,302,236,119,105,161,27,25,975,2642
360850303012 ,273,205,173,62,48,36,45,842,2255
360850303021 ,84,85,105,91,83,14,0,462,1430
360850303022 ,139,185,130,147,83,62,19,765,2406
360850303023 ,64,151,224,79,103,7,0,628,1897
360850303024 ,0,26,8,53,20,0,0,107,409
360850319011 ,226,226,222,43,0,15,0,732,1608
360850319012 ,41,83,63,71,28,16,4,306,956
360850319020 ,0,0,0,0,0,0,0,0,0
360850319021 ,244,250,117,95,53,0,18,777,1876
360850319022 ,84,80,134,26,9,41,32,406,1293
360850319023 ,35,81,140,93,33,23,0,405,1311
360850323000 ,0,0,0,0,0,0,0,0,0
360850323001 ,140,171,108,39,41,0,0,499,1218
360859901000 ,0,0,0,0,0,0,0,0,0
