Id2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hh_total,hh_avg_inc
71 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
72 ,0,15,0,6,0,18,18,6,0,29,41,39,39,30,65,107,413,120250
73 ,9,24,25,27,6,23,25,39,6,27,72,54,68,11,46,68,530,71750
74 ,17,32,0,15,0,0,0,25,0,20,99,76,18,71,85,169,627,128807
75 ,16,0,0,8,0,0,8,7,0,18,35,20,26,17,36,118,309,149844
76 ,22,25,16,0,9,6,0,0,9,0,21,7,76,25,71,126,413,137031
77 ,0,35,0,0,0,0,0,0,9,0,16,24,45,41,24,128,322,146250
78 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
79 ,4,10,11,15,0,30,17,5,5,21,19,96,27,17,104,121,502,104167
80 ,53,0,37,5,23,35,33,4,9,45,52,96,58,88,55,251,844,108750
81 ,14,0,0,29,0,0,0,0,0,44,29,11,75,7,7,44,260,100234
82 ,22,14,0,0,9,0,0,7,0,22,10,35,60,26,108,115,428,167653
83 ,35,0,0,9,0,0,0,0,14,17,56,15,7,22,40,88,303,121964
84 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
85 ,7,0,0,42,0,9,23,0,7,30,40,52,46,8,37,59,360,83793
86 ,13,12,0,0,0,8,0,7,0,8,70,19,53,31,66,58,345,121250
87 ,16,8,7,0,8,9,0,28,0,21,10,57,56,18,52,53,343,100893
88 ,0,0,0,0,0,0,7,0,0,22,13,58,10,8,49,28,195,97054
89 ,47,0,0,0,18,57,14,6,7,31,13,163,8,42,36,36,478,83400
90 ,28,47,0,0,0,0,0,0,31,0,21,75,36,25,147,21,431,108315
91 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
92 ,268,155,76,21,7,23,0,14,24,52,57,75,30,50,53,86,991,18906
93 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
94 ,37,26,56,21,21,24,9,33,13,25,79,132,116,58,46,40,736,77308
95 ,42,32,19,4,36,40,0,8,67,123,57,66,57,21,42,76,690,58879
96 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
97 ,0,23,19,0,6,0,0,12,8,0,24,10,0,5,29,55,191,88958
98 ,43,16,12,19,0,28,22,5,17,33,38,74,50,13,25,26,421,62153
99 ,13,15,5,9,0,20,9,15,10,0,19,20,41,0,14,25,215,71250
100 ,10,10,0,0,0,0,0,0,4,0,5,10,20,34,22,40,155,138250
101 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
102 ,55,70,15,21,59,0,26,0,35,63,127,90,99,42,95,99,896,68704
103 ,3,8,34,10,9,0,0,0,10,20,24,14,16,19,24,33,224,68333
104 ,76,15,17,37,18,9,25,56,11,58,15,43,9,41,19,46,495,43281
105 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
106 ,61,0,7,78,62,50,11,0,0,68,11,120,53,47,39,57,664,58750
107 ,12,53,0,30,67,39,77,21,23,36,85,155,24,33,56,38,749,61331
108 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
109 ,58,45,37,39,42,30,31,20,21,47,107,113,104,35,25,86,840,64479
110 ,50,16,22,68,30,6,28,0,9,25,14,61,18,6,25,9,387,35134
111 ,90,55,31,86,18,9,30,40,56,33,65,103,82,45,34,22,799,46808
112 ,0,15,6,27,33,21,20,22,8,10,30,6,32,11,9,15,265,43693
113 ,10,15,6,28,15,17,21,11,13,23,0,57,44,5,15,14,294,56250
114 ,15,0,15,39,7,10,8,4,13,27,37,51,44,16,16,15,317,69750
115 ,20,6,25,2,0,8,10,1,8,66,40,8,16,13,0,34,257,57813
116 ,43,42,7,0,11,0,26,9,12,33,20,62,41,43,22,71,442,83598
117 ,6,0,25,39,0,0,0,7,0,0,32,36,20,0,42,57,264,88125
