Id2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hh_total,hh_avg_inc
3.6085E+11,45,17,21,0,0,31,18,9,0,0,33,84,37,23,49,4,371,76438
3.6085E+11,27,0,0,26,54,33,0,0,0,67,60,54,0,23,9,9,362,54364
3.6085E+11,169,34,64,37,15,27,28,52,5,49,85,57,48,36,8,7,721,38795
3.6085E+11,53,28,55,55,41,6,35,10,14,28,47,43,19,37,0,5,476,33750
3.6085E+11,43,0,26,0,85,0,41,26,9,0,0,54,33,0,7,0,324,35488
3.6085E+11,266,102,243,51,40,8,9,51,0,46,44,27,0,0,0,0,887,16685
3.6085E+11,56,0,0,21,25,0,43,17,56,18,17,0,27,16,25,11,332,45270
3.6085E+11,0,31,0,0,33,8,0,36,0,19,0,72,14,7,38,14,272,80313
3.6085E+11,44,20,0,62,0,35,14,41,11,10,38,32,111,43,54,34,549,74896
3.6085E+11,58,34,0,11,11,18,7,28,36,78,10,188,86,97,66,135,863,87721
3.6085E+11,9,2,20,0,23,5,7,2,52,56,73,77,32,53,27,41,479,73813
3.6085E+11,9,11,20,40,21,24,9,11,0,36,60,29,26,30,15,4,345,56319
3.6085E+11,44,0,19,24,19,19,9,7,17,27,34,70,9,8,5,0,311,48958
3.6085E+11,23,22,25,5,0,17,22,15,0,92,87,117,52,51,29,84,641,75822
3.6085E+11,69,0,22,41,0,31,17,0,25,0,145,26,65,0,0,41,482,65621
3.6085E+11,545,78,34,80,25,0,74,64,143,0,102,0,62,60,0,12,1279,-
3.6085E+11,338,105,25,0,87,85,16,0,0,70,0,28,83,20,0,76,933,-
3.6085E+11,53,0,0,24,59,0,0,49,0,140,0,23,63,35,41,11,498,57865
3.6085E+11,0,0,0,0,0,0,18,0,0,94,0,95,144,0,0,39,390,89348
3.6085E+11,67,0,0,47,31,0,30,0,0,23,66,25,0,0,0,0,289,-
3.6085E+11,0,0,0,27,0,40,0,0,26,53,23,0,84,14,53,11,331,74620
3.6085E+11,7,45,12,36,26,46,0,39,34,9,107,99,56,38,115,29,698,73966
3.6085E+11,40,9,17,30,12,0,0,0,7,11,54,42,44,13,37,30,346,64563
3.6085E+11,13,26,17,41,45,32,43,9,57,12,34,46,79,89,67,77,687,88105
3.6085E+11,34,61,15,0,0,27,23,0,7,80,21,30,47,76,34,7,462,58919
3.6085E+11,49,0,0,18,0,9,9,8,24,12,43,8,31,18,36,15,280,69615
3.6085E+11,81,19,10,13,0,9,0,40,18,20,29,60,62,70,42,115,588,95938
3.6085E+11,63,0,20,0,0,72,34,18,17,7,52,70,57,70,57,26,563,74659
3.6085E+11,0,0,0,12,0,0,0,0,10,7,15,32,6,0,49,55,186,156375
3.6085E+11,4,11,6,5,0,26,0,0,27,39,42,47,13,17,17,33,287,69777
3.6085E+11,92,83,47,44,27,0,54,40,34,56,23,120,32,25,17,3,697,40125
3.6085E+11,30,8,0,0,8,30,7,0,0,45,10,15,33,75,15,53,329,106607
3.6085E+11,16,0,7,0,0,0,34,14,38,34,24,16,32,63,40,49,367,100052
3.6085E+11,0,0,9,0,10,7,29,15,6,8,7,66,35,16,55,17,280,94464
3.6085E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3.6085E+11,80,67,0,60,24,26,15,11,21,83,112,219,42,13,109,42,924,66884
3.6085E+11,0,15,31,0,0,0,0,22,12,0,30,15,48,114,104,0,391,126308
3.6085E+11,16,0,0,13,15,79,71,0,0,15,6,72,40,52,39,22,440,78333
3.6085E+11,75,15,65,73,14,98,19,0,0,28,133,61,63,69,13,51,777,60163
3.6085E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3.6085E+11,10,9,0,9,61,24,59,29,0,7,16,159,153,75,0,25,636,84167
3.6085E+11,153,51,80,38,19,23,13,26,6,51,90,155,100,44,78,40,967,63125
3.6085E+11,47,8,25,37,67,27,18,0,10,0,0,32,11,0,0,0,282,25896
3.6085E+11,16,33,10,18,9,32,16,0,93,33,50,19,26,24,42,15,436,49338
3.6085E+11,56,0,74,0,9,0,0,8,18,59,26,13,22,13,29,37,364,51012
3.6085E+11,117,21,5,5,19,23,29,25,15,61,30,72,14,29,15,4,484,44615
3.6085E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3.6085E+11,151,137,111,28,34,22,33,22,12,36,66,37,61,52,12,45,859,25184
3.6085E+11,86,39,21,0,0,41,0,4,18,34,42,70,28,20,24,0,427,52989
3.6085E+11,64,0,48,11,14,0,0,0,0,6,8,64,26,65,34,70,410,93333
3.6085E+11,90,38,46,49,15,10,5,20,0,46,163,56,61,50,52,43,744,61920
3.6085E+11,39,60,24,44,20,48,24,91,19,16,97,57,63,54,70,39,765,58958
3.6085E+11,12,10,0,50,30,21,0,36,27,29,29,81,73,21,36,24,479,74375
3.6085E+11,9,14,11,0,17,40,0,0,32,18,58,35,70,19,25,56,404,80536
3.6085E+11,20,10,0,33,0,11,5,9,0,61,50,19,122,58,24,6,428,91500
3.6085E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3.6085E+11,86,9,54,37,29,31,44,0,0,36,84,37,35,63,62,10,617,56595
3.6085E+11,6,6,5,13,14,25,16,46,11,26,64,49,85,30,98,20,514,92250
3.6085E+11,0,0,32,0,0,0,9,15,9,7,74,60,71,45,38,36,396,96250
3.6085E+11,0,0,11,0,0,41,8,7,0,0,33,41,10,9,6,41,207,75398
3.6085E+11,7,0,8,23,0,0,0,17,9,92,80,15,24,7,27,50,359,70816
3.6085E+11,49,0,0,15,0,0,11,0,10,9,14,39,62,19,47,14,289,99219
