2010-2040 Household Income (Held constant in $2010) : Household Income,,
TAZ,HH_Inc,HHNUM
819,29618.001,2095.4
820,34911.609,2773
821,25964.883,2562.4
822,34639.662,2681.6
823,31342.167,2939.2
824,40347.246,2809.2
825,32192.139,1096.8
826,32985.96,4399.2
827,35284.848,2382.2
828,26083.791,1859.6
829,32356.188,2393
830,36892.308,2738
831,0,0
832,35239.707,1992.2
833,36964.974,2169.4
834,34024.203,1549.8
835,34720.035,3804.6
836,37908.531,1926.8
837,35102.082,1056.6
838,38125.428,3332.4
839,40217.328,1795.6
840,39805.554,441
841,38752.998,1006.6
842,25814.046,2611.6
843,30378.792,2748.8
844,31772.658,3585
845,33260.109,2011.2
846,30788.364,1390.8
847,34334.685,712.4
848,42803.577,1559
849,30198.228,371.8
850,23931.336,2667.2
851,33283.23,2566.2
852,33842.538,3153.2
853,41615.598,1802.6
854,29362.569,271.2
855,36480.534,1233.4
856,27549.222,1306.8
857,32544.459,1546.2
858,26082.69,3168.4
859,30259.884,2482
860,33786.387,1867.6
861,36274.647,1214.8
862,24121.809,569
863,51217.419,683.6
864,39328.821,2130.2
865,27686.847,1942.2
866,44462.784,1381.8
867,67240.272,1014.8
868,43214.25,2183.4
869,41159.784,2098.2
870,37497.858,1490.8
871,28696.464,1684
872,34451.391,5072.2
873,40347.246,2785.6
874,37660.806,1200.2
875,42159.492,2441.6
876,51913.251,1187.8
877,48569.514,2871.8
878,43807.689,2233.4
879,38497.566,2219
880,41353.56,2301.6
881,45002.274,2528.6
882,52064.088,1468
883,36587.331,2648.4
884,39218.721,3531.2
885,54966.324,1467.2
886,42529.428,3835.8
887,47622.654,1811.2
888,44918.598,2619.6
889,61375.245,2890.6
890,60959.067,1804.4
891,46410.453,612.2
892,45450.381,2497.6
893,63118.128,2828.6
894,105252.297,3538.6
895,89701.773,572.2
896,83269.731,2055.4
897,97866.789,1791.4
898,110722.065,628.2
899,89821.782,1118.2
900,213315.447,139.2
901,90497.796,1118.4
902,86777.517,2103.4
903,94798.302,2912.4
904,115367.184,3872.8
905,0,2
906,27778.23,2406.2
907,42649.437,2775.2
908,31179.219,313.2
909,44297.634,2802.4
910,35607.441,1577.6
911,48862.38,2333
912,51294.489,2565.2
913,50571.132,2330
914,46812.318,817.4
915,50109.813,7586.4
916,52415.307,1142.4
917,46959.852,1831.8
918,49989.804,1490.2
919,50659.212,1832
920,57800.298,502.2
921,51658.92,227
922,34698.015,796.2
923,34874.175,3358.6
924,34967.76,1362.6
925,34396.341,1706.8
926,53975.424,2577
927,50890.422,2138
928,44293.23,1808.8
929,45343.584,550.4
930,54941.001,2405.2
931,0,1
932,40917.564,639.2
933,42919.182,4493
934,39672.333,2791.2
935,41585.871,2402.2
936,71129.004,3244.4
937,0,0
938,80713.209,1808.8
939,0,14
940,47681.007,3327.4
941,54215.442,12738
942,63270.066,4287.8
943,62494.962,1426.2
944,63924.06,2657.4
945,0,222.2
946,63958.191,2083.2
947,51250.449,2613.4
948,49532.889,692
949,63568.437,1603.2
950,67274.403,1060.2
951,84760.485,454
952,90935.994,781
953,77742.711,924
954,20394.924,368
955,65377.38,4253.6
956,88805.559,2040.2
957,82078.449,1311.2
958,79722.309,1589.2
959,76933.476,3245.6
960,82512.243,2076.2
961,33645.459,2633.4
962,48686.22,1387.2
963,46857.459,1764.4
964,44051.01,1455.4
965,37955.874,1280.2
966,79835.712,613
967,45123.384,3535.6
968,43323.249,2178.4
969,80346.576,603
970,58314.465,2449.4
971,82136.802,2344.4
972,60922.734,668.2
973,93492.516,261.2
974,91723.209,654
975,88977.315,1908.2
976,46554.684,6744
977,66193.221,3062.6
978,78015.759,1239.2
979,40374.771,177
980,41299.611,739.2
981,52746.708,1293.2
982,51277.974,653.2
983,0,32
984,49310.487,836.2
985,47955.156,1956.2
986,61139.631,662.2
987,66385.896,2680.4
988,80988.459,496
989,75996.525,311
990,78975.831,815.4
991,42984.141,2263
992,56965.74,833.4
993,66544.44,909.4
994,75448.227,2509.2
995,85334.106,673.4
996,61904.826,1536.8
997,53574.66,2714.2
998,45009.981,2801.6
999,55000.455,883.4
1000,62928.756,1385.2
1001,61369.74,1068.6
1002,55247.079,1425.8
1003,46191.354,4856.4
1004,52481.367,2392.2
1005,62080.986,1897
1006,67162.101,1229.6
1007,32230.674,3073.6
1008,55702.893,2611.4
1009,82805.109,337.2
1010,67617.915,740.4
1011,70130.397,3210.6
1012,78553.047,1841
1013,64519.701,1830.8
1014,63481.458,336
1015,63284.379,1781
1016,54115.251,1269.6
1017,49070.469,999.6
1018,67964.73,680.2
1019,81449.778,744.4
1020,60104.691,696.4
1021,66013.758,2638.2
1022,14096.103,24
1023,0,19
1024,0,622.2
1025,0,0
1026,0,5
1027,0,0
1028,53124.351,476
1029,80687.886,828.4
1030,66435.441,1867.6
1031,52764.324,920.8
1032,63485.862,1299.8
1033,64008.837,2012.2
1034,61660.404,1608.6
1035,62489.457,2007.2
1036,69575.493,1538.2
1037,71972.37,792.4
1038,92302.335,2152.8
1039,70010.388,1211
1040,66579.672,1555.4
1041,83720.04,2294.4
1042,76107.726,1783.2
1043,101306.313,1558.4
1044,32772.366,1187.8
1045,89506.896,1166.8
1046,68722.218,2068.4
1047,48074.064,2206
1048,26869.905,1239
1049,37873.299,1144.8
1050,33943.83,3212.2
1051,49614.363,1442.2
1052,30447.054,1788.2
1053,32418.945,695.8
1054,56265.504,1881.6
1055,45362.301,2387.8
1056,22361.31,505.2
1057,36272.445,673.6
1058,39565.536,1020
1059,22758.771,1454.4
1060,34296.15,2614.8
1061,48177.558,609.8
