Id2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hh_total,hh_avg_inc
89 ,34,8,0,11,24,21,15,15,8,24,54,26,0,13,19,16,288,54722
90 ,148,56,8,60,23,0,70,10,15,76,71,29,34,0,12,0,612,35611
91 ,140,19,29,0,38,57,0,27,12,0,26,72,0,0,0,0,420,28462
92 ,97,89,20,47,0,68,33,0,17,45,18,0,0,0,28,0,462,22500
93 ,51,47,75,0,22,69,0,0,10,29,0,44,0,19,0,0,366,26136
94 ,18,10,45,0,0,45,0,28,0,21,0,0,7,0,0,0,174,33278
95 ,178,145,150,81,45,18,53,35,108,100,16,0,0,0,0,0,929,19764
96 ,230,121,116,57,66,48,55,17,8,63,33,19,14,12,22,0,881,18948
97 ,40,49,32,11,5,0,52,5,0,0,0,33,5,0,0,9,241,-
98 ,152,70,99,28,0,18,10,11,8,31,64,61,6,10,17,6,591,18068
99 ,277,68,40,31,0,80,16,66,17,13,20,0,0,9,0,7,644,12296
100 ,265,128,89,48,34,53,52,30,38,43,55,6,0,0,0,0,841,16463
101 ,6,10,0,46,0,0,22,0,0,20,54,47,0,10,18,0,233,60977
102 ,93,103,68,43,108,84,0,47,0,73,54,60,12,35,6,0,786,29098
103 ,34,61,9,72,9,7,0,0,20,14,9,17,28,0,9,0,289,23169
104 ,81,83,34,17,0,42,11,0,0,18,55,70,18,0,0,10,439,30268
105 ,153,96,57,11,7,23,5,8,26,8,0,30,8,0,0,0,432,12461
106 ,41,13,34,9,0,0,7,14,0,33,0,34,12,7,0,0,204,39286
107 ,54,16,19,28,0,16,7,47,4,16,18,19,17,11,0,0,272,36071
108 ,51,5,6,0,24,19,17,2,0,3,29,67,0,0,0,36,259,60216
109 ,156,100,43,73,82,34,28,50,13,41,84,69,23,0,0,20,816,28309
110 ,44,41,12,8,7,15,45,36,16,27,48,4,20,8,0,9,340,39783
111 ,0,20,23,0,30,31,15,0,53,32,13,111,20,0,0,0,348,55156
112 ,205,128,54,175,47,70,93,277,85,161,253,176,43,43,17,0,1827,41872
113 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
114 ,109,38,43,29,0,54,0,0,0,23,88,14,29,0,0,0,427,24526
115 ,175,50,122,41,36,83,89,0,0,55,0,0,0,0,0,0,651,19198
116 ,203,42,77,85,56,0,11,0,45,43,36,57,0,0,0,0,655,20625
117 ,86,0,0,90,0,0,56,71,0,47,0,56,38,0,14,0,458,39866
118 ,0,0,10,13,14,27,53,29,23,0,0,0,33,0,9,0,211,39458
119 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
120 ,19,0,9,20,8,0,41,7,0,0,0,20,9,8,4,0,145,36006
121 ,17,34,21,16,5,0,0,38,21,24,48,26,8,0,0,19,277,47344
122 ,65,23,7,5,34,48,0,1,31,0,29,34,44,17,7,0,345,34152
123 ,101,25,68,13,35,66,0,32,26,9,26,9,17,0,0,0,427,25602
124 ,112,117,15,37,48,45,26,18,43,54,69,41,9,0,0,11,645,29375
125 ,106,77,11,0,23,75,55,0,0,74,38,92,0,0,25,0,576,34706
126 ,55,10,23,14,58,0,36,10,0,0,17,7,0,8,0,0,238,25733
127 ,25,45,27,0,28,8,0,36,17,0,0,21,0,0,0,0,207,25580
128 ,127,22,0,0,11,0,38,0,0,0,65,0,0,0,0,0,263,-
129 ,82,37,0,37,7,8,0,0,24,10,0,7,35,0,25,11,283,21520
130 ,354,145,147,60,92,102,92,78,14,38,20,46,0,0,0,0,1188,18860
131 ,9,57,18,23,62,0,18,14,26,18,29,0,9,0,0,0,283,28090
132 ,27,26,0,18,15,19,23,17,0,0,0,0,28,0,0,0,173,30066
133 ,74,12,14,55,50,0,13,33,51,0,25,14,36,0,0,0,377,27264
134 ,138,11,73,0,90,37,11,14,0,0,0,29,29,52,0,39,523,26097
135 ,131,94,43,0,0,24,57,0,31,13,0,0,0,0,0,22,415,-
136 ,177,90,0,163,0,32,41,0,0,13,0,13,0,0,0,0,529,14894
