TAZ,HHNUM,HHSIZE
820,2773,3.138
821,2562.4,2.728
822,2681.6,3.12
823,2939.2,2.978
824,2809.2,3.098
825,1096.8,3.01
826,4399.2,2.77
827,2382.2,2.748
828,1859.6,2.67
829,2393,2.96
830,2738,3.088
831,0,0
832,1992.2,2.9
833,2169.4,3.178
834,1549.8,3.14
835,3804.6,2.828
836,1926.8,3.158
837,1056.6,3.21
838,3332.4,2.86
839,1795.6,3.04
840,441,3.058
841,1006.6,3.428
842,2611.6,3.22
843,2748.8,3.188
844,3585,3.038
845,2011.2,3.218
846,1390.8,3.018
847,712.4,2.89
848,1559,2.77
849,371.8,3.07
850,2667.2,2.77
851,2566.2,2.95
852,3153.2,2.63
853,1802.6,2.98
854,271.2,3.1
855,1233.4,2.63
856,1306.8,2.73
857,1546.2,3.028
858,3168.4,2.59
859,2482,2.858
860,1867.6,2.84
861,1214.8,2.68
862,569,2.368
863,683.6,2.848
864,2130.2,3.01
865,1942.2,3.158
866,1381.8,2.69
867,1014.8,1.858
868,2183.4,2.84
869,2098.2,3.27
870,1490.8,3.09
871,1684,3.11
872,5072.2,3.06
873,2785.6,2.94
874,1200.2,2.8
875,2441.6,2.72
876,1187.8,2.48
877,2871.8,2.55
878,2233.4,2.46
879,2219,3.088
880,2301.6,2.548
881,2528.6,2.638
882,1468,2.788
883,2648.4,2.728
884,3531.2,2.62
885,1467.2,2.488
886,3835.8,2.89
887,1811.2,2.8
888,2619.6,2.95
889,2890.6,2.29
890,1804.4,1.96
891,612.2,2.408
892,2497.6,2.4
893,2828.6,2.3
894,3538.6,1.83
895,572.2,1.76
896,2055.4,2.06
897,1791.4,1.98
898,628.2,2.06
899,1118.2,2.06
900,139.2,2.84
901,1118.4,2.428
902,2103.4,2.168
903,2912.4,1.87
904,3872.8,2.03
905,2,2.448
906,2406.2,2.74
907,2775.2,3.098
908,313.2,3.4
909,2802.4,2.9
910,1577.6,2.67
911,2333,2.758
912,2565.2,2.26
913,2330,2.27
914,817.4,2.938
915,7586.4,2.168
916,1142.4,2.678
917,1831.8,2.79
918,1490.2,3.02
919,1832,2.75
920,502.2,3.338
921,227,3.23
922,796.2,2.56
923,3358.6,3.06
924,1362.6,2.858
925,1706.8,2.71
926,2577,2.898
927,2138,3.008
928,1808.8,3.018
929,550.4,2.59
930,2405.2,2.33
931,1,3.91
932,639.2,2.448
933,4493,2.928
934,2791.2,2.57
935,2402.2,2.788
936,3244.4,2.84
937,0,0
938,1808.8,2.788
939,14,2.728
940,3327.4,3.01
941,12738,2.028
942,4287.8,2.078
943,1426.2,2.05
944,2657.4,2.2
945,222.2,2.13
946,2083.2,2.378
947,2613.4,2.03
948,692,2.75
949,1603.2,2.41
950,1060.2,2.62
951,454,2.498
952,781,2.768
953,924,2.54
954,368,1.818
955,4253.6,2.708
956,2040.2,2.378
957,1311.2,2.328
958,1589.2,2.38
959,3245.6,2.45
960,2076.2,2.1
961,2633.4,2.358
962,1387.2,2.75
963,1764.4,2.628
964,1455.4,2.74
965,1280.2,2.318
966,613,2.74
967,3535.6,2.198
968,2178.4,2.62
969,603,2.89
970,2449.4,2.928
971,2344.4,2.758
972,668.2,2.68
973,261.2,2.81
974,654,2.71
975,1908.2,2.67
976,6744,2.47
977,3062.6,2.438
978,1239.2,2.5
979,177,3.028
980,739.2,2.13
981,1293.2,3.01
982,653.2,2.888
983,32,2.9
984,836.2,3.028
985,1956.2,2.878
986,662.2,2.408
987,2680.4,2.47
988,496,2.408
989,311,2.86
990,815.4,2.838
991,2263,2.5
992,833.4,2.59
993,909.4,2.818
994,2509.2,2.84
995,673.4,2.998
996,1536.8,2.86
997,2714.2,2.738
998,2801.6,2.638
999,883.4,2.94
1000,1385.2,2.748
1001,1068.6,2.908
1002,1425.8,2.598
1003,4856.4,2.77
1004,2392.2,2.74
1005,1897,2.788
1006,1229.6,2.918
1007,3073.6,2.818
1008,2611.4,2.898
1009,337.2,2.59
1010,740.4,2.75
1011,3210.6,2.9
1012,1841,2.04
1013,1830.8,1.948
1014,336,2.808
1015,1781,2.81
1016,1269.6,2.848
1017,999.6,2.668
1018,680.2,2.99
1019,744.4,2.93
1020,696.4,2.93
1021,2638.2,2.81
1022,24,3.87
1023,19,2.01
1024,622.2,2.2
1025,0,0
1026,5,3.366
1027,0,0
1028,476,2.366
1029,828.4,2.316
1030,1867.6,2.116
1031,920.8,2.438
1032,1299.8,2.456
1033,2012.2,2.116
1034,1608.6,1.978
1035,2007.2,2.126
1036,1538.2,2.158
1037,792.4,2.076
1038,2152.8,2.056
1039,1211,2.176
1040,1555.4,2.026
1041,2294.4,1.898
1042,1783.2,2.016
1043,1558.4,2.038
1044,1187.8,3.594
1045,1166.8,2.696
1046,2068.4,2.226
1047,2206,2.476
1048,1239,2.846
1049,1144.8,3.834
1050,3212.2,3.384
1051,1442.2,4.982
1052,1788.2,3.694
1053,695.8,4.924
1054,1881.6,2.296
1055,2387.8,2.796
1056,505.2,4.632
1057,673.6,5.532
1058,1020,3.854
1059,1454.4,2.844
1060,2614.8,2.476
1061,609.8,2.704
1062,358.4,2.874
1063,578.6,2.656
1064,3076.6,2.536
1065,3438.2,2.346
1066,1345.6,2.046
1067,1187.8,2.208
1068,1216,2.146
1069,1100.4,2.476
1070,1568.6,2.136
1071,1380.6,1.936
1072,1394.8,2.016
1073,1609.8,2.118
1074,1,6.93
1075,212.4,1.906
1076,2010.8,1.818
1077,1532.4,2.806
1078,1079.2,2.316
1079,689.8,2.026
1080,1192.4,1.586
1081,4489.6,1.798
1082,3466.8,1.648
1083,1622.8,1.896
1084,978.6,2.026
1085,1563.6,2.046
1086,1548.4,1.918
1087,160.8,1.776
1088,1042.4,1.768
1089,1237,2.048
1090,1761.4,1.926
1091,1161.6,2.028
1092,825,1.908
1093,1506.2,2.196
1094,2226.8,1.788
1095,2636.8,2.456
1096,508.4,2.386
1097,563.8,2.386
1098,182,1.778
1099,937.4,2.358
1100,2267.8,1.896
1101,1723.2,1.936
1102,1510.2,1.926
1103,3210.4,2.036
1104,1462,2.356
1105,1761.2,2.288
1106,969.6,2.386
1107,1792.4,2.166
1108,1525.4,2.256
1109,1830.6,2.766
1110,1814.4,2.136
1111,1222.8,3.216
1112,828.2,4.802
1113,471,4.612
1114,942.8,2.216
1115,1751.2,2.976
1116,1742,3.186
1117,128.8,3.224
1118,1127.2,2.546
1119,1208.8,2.326
1120,2719,2.586
1121,1522.6,2.446
1122,3042.2,2.716
1123,1197.6,2.326
1124,647.6,2.606
1125,291.8,2.686
1126,1247,2.296
1127,1436.8,2.326
1128,1480.4,2.606
1129,2326.6,2.456
1130,1804.4,2.146
1131,2433.4,2.686
1132,1268,2.416
1133,1492.4,2.546
1134,1713.8,2.338
1135,1543.8,2.616
1136,1358.6,2.336
1137,1574.8,2.226
1138,2668,2.506
1139,3013,2.486
1140,910.4,2.826
1141,1437.2,2.636
1142,1856,2.516
1143,1229.8,2.856
1144,545.4,2.784
1145,1195.6,3.174
1146,1192.6,2.836
1147,1251,2.766
1148,1366.8,2.836
1149,1167.4,2.976
1150,2592.6,3.114
1151,1363.6,2.706
1152,3043.4,3.236
1153,1231.8,3.184
1154,1678.8,3.116
1155,1299.4,3.196
1156,1886.2,3.064
1157,1814.6,3.134
1158,1259.2,2.726
1159,1215.8,3.174
1160,1290.2,3.056
1161,2303.8,2.826
1162,3371.6,3.224
1163,1062.8,2.666
1164,839.4,2.806
1165,1309.2,2.706
1166,2205,3.196
1167,2,2.974
1168,1910.2,3.274
1169,1439.8,3.054
1170,4135.2,3.554
1171,1896.2,3.626
1172,1147.2,3.404
1173,3540.2,3.466
1174,2301.4,3.064
1175,1739.4,3.156
1176,3139,2.806
1177,3571.2,2.806
1178,262.8,2.476
1179,6425.6,2.088
1180,1157.2,3.454
1181,1971.6,3.414
1182,1745.4,2.226
1183,1847,2.426
1184,598.4,3.294
1185,1021.6,3.016
1186,1117,2.874
1187,1475.8,2.784
1188,2638.2,3.306
1189,2535.6,3.056
1190,2207.8,2.986
1191,2728,2.816
1192,266.4,3.166
1193,1428.6,2.536
1194,1590.6,2.756
1195,1628,3.116
1196,2307,2.926
1197,2020.8,2.916
1198,4382.4,2.346
1199,668.4,2.176
1200,2966.2,2.076
1201,1697.4,1.976
1202,2569.6,2.036
1203,1509.8,2.198
1204,1665,2.148
1205,1738.4,2.616
1206,1484,2.356
1207,1720.6,2.336
1208,207.8,1.866
1209,492,2.126
1210,994.8,2.186
1211,1093.6,2.186
1212,1836,2.088
1213,2677,1.886
1214,1716.4,2.118
1215,1644,2.126
1216,1509.8,2.186
1217,2079.8,1.996
1218,2457.2,2.098
1219,1584,2.266
1220,1218.6,2.106
1221,2120,2.206
1222,3326.4,2.216
1223,1403.2,2.086
1224,1526.6,2.286
1225,1286,2.356
1226,2097.8,2.096
1227,1938.6,2.056
1228,2451.6,3.166
1229,3184.2,2.306
1230,2379,2.156
1231,1650.8,2.316
1232,1553.2,2.266
1233,1792.6,2.226
1234,2006,2.306
1235,1465.8,2.846
1236,1451.4,2.416
1237,1697,2.496
1238,1272.6,3.344
1239,2394.2,3.166
1240,0,0
1241,1991.8,3.176
1242,1590.4,3.454
1243,1832,3.414
1244,1806.8,3.964
1245,1526,3.636
1246,2893.2,3.334
1247,2166.8,3.426
1248,622.6,3.694
1249,1852,3.704
1250,1464.8,3.904
1251,1621.6,3.644
1252,1520,3.544
1253,1653.8,3.644
1254,1567.2,3.814
1255,2,2.476
1256,1890,2.126
1257,1532,2.116
1258,2327,2.248
1259,2085.4,2.066
1260,2495.6,2.126
1261,1551,2.316
1262,1518,2.316
1263,2309.2,2.176
1264,2838.6,2.386
1265,3134.4,2.216
1266,3061,2.616
1267,1387.6,2.904
1268,1809.8,2.356
1269,1988.2,2.286
1270,1626.2,2.706
1271,1392.6,2.316
1272,2903.6,2.726
1273,2060.4,2.606
1274,3525.2,2.766
1275,0,0
1276,4991.6,2.308
1277,3685.6,2.528
1278,3767,2.716
1279,1849.4,2.298
1280,2513.4,2.576
1281,1376.2,2.576
1282,1943.8,2.596
1283,1451.6,2.476
1284,2117.6,3.304
1285,3046.8,2.586
1286,1277.8,2.556
1287,4058.2,2.626
1288,169.6,1.358
1289,1994,2.646
1290,2122.6,2.586
1291,1204.6,2.566
1292,1693.2,1.856
1293,2363.2,1.728
1294,953.8,1.978
1295,3636,1.806
